"role","actorname","actorimdb","titlename","titleimdb"
"Trevor Slattery","Ben Kingsley","https://www.imdb.com/name/nm0001426","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Jackson Norris","Scoot McNairy","https://www.imdb.com/name/nm1058940","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Herman","Lester Speight","https://www.imdb.com/name/nm0711529","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Justin Hammer","Sam Rockwell","https://www.imdb.com/name/nm0005377","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"White Power Dave","Matt Gerald","https://www.imdb.com/name/nm0313902","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Fletcher Heggs","Allen Maldonado","https://www.imdb.com/name/nm1280286","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Bar Monkey (as Crystal the Capuchin)","Crystal the Monkey","https://www.imdb.com/name/nm2640714","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Inmate Prisoner (as Jose Abril)","Joey Abril","https://www.imdb.com/name/nm6335925","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Asian Prisoner","Billy Choi","https://www.imdb.com/name/nm6077625","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Asian Prisoner","Marcus Natividad","https://www.imdb.com/name/nm3060982","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Prison Inmate","Cuete Yeska","https://www.imdb.com/name/nm2757601","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Prisoner (uncredited)","Rob S. Gray","https://www.imdb.com/name/nm6133374","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Prisoner (uncredited)","Steve Huang","https://www.imdb.com/name/nm5207967","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Prisoner (uncredited)","Justin Mercer","https://www.imdb.com/name/nm5265568","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Prisoner (uncredited)","Eddie J. Rangel","https://www.imdb.com/name/nm6167204","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
"Prisoner (uncredited)","Steve Shampine","https://www.imdb.com/name/nm6644418","Marvel One-Shot: All Hail the King","https://www.imdb.com/title/tt3438640"
