"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Dagger / ... 20 episodes, 2018-2019";"Olivia Holt";"https://www.imdb.com/name/nm3127051";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Cloak / ... 20 episodes, 2018-2019";"Aubrey Joseph";"https://www.imdb.com/name/nm5810941";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Adina Johnson 8 episodes, 2018";"Gloria Reuben";"https://www.imdb.com/name/nm0005349";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Connors / ... 8 episodes, 2018";"J.D. Evermore";"https://www.imdb.com/name/nm0263625";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Otis Johnson 8 episodes, 2018";"Miles Mussenden";"https://www.imdb.com/name/nm4266079";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Evita Fusilier 8 episodes, 2018";"Noëlle Renée Bercy";"https://www.imdb.com/name/nm5321840";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Melissa Bowen 7 episodes, 2018";"Andrea Roth";"https://www.imdb.com/name/nm0744776";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Detective Brigid O'Reilly 7 episodes, 2018";"Emma Lahana";"https://www.imdb.com/name/nm1069611";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Liam Walsh 5 episodes, 2018";"Carl Lundstedt";"https://www.imdb.com/name/nm6802489";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Mina Hess 5 episodes, 2018";"Ally Maki";"https://www.imdb.com/name/nm1280361";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Peter Scarborough 5 episodes, 2018";"Wayne Pére";"https://www.imdb.com/name/nm0701818";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Ivan Hess 4 episodes, 2018";"Tim Kang";"https://www.imdb.com/name/nm1085727";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Officer Fuchs / ... 4 episodes, 2018";"Lane Miller";"https://www.imdb.com/name/nm5384990";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Auntie Chantelle 4 episodes, 2018";"Angela M. Davis";"https://www.imdb.com/name/nm8513518";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Nathan Bowen 4 episodes, 2018";"Andy Dylan";"https://www.imdb.com/name/nm1314193";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Young Tyrone 4 episodes, 2018";"Maceo Smedley";"https://www.imdb.com/name/nm7852200";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Duane Porter / ... 4 episodes, 2018";"Dalon J. Holland";"https://www.imdb.com/name/nm5601281";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Billy 4 episodes, 2018";"Marqus Clae";"https://www.imdb.com/name/nm8031217";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Father Delgado 3 episodes, 2018";"Jaime Zevallos";"https://www.imdb.com/name/nm2460093";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Greg 3 episodes, 2018";"Gary Weeks";"https://www.imdb.com/name/nm0917314";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Coach 3 episodes, 2018";"Jim Klock";"https://www.imdb.com/name/nm1145617";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Benny 3 episodes, 2018";"Dalton E. Gray";"https://www.imdb.com/name/nm4263802";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Young Tandy 3 episodes, 2018";"Rachel Ryals";"https://www.imdb.com/name/nm8738057";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Choo Choo Broussard 3 episodes, 2018";"Gralen Bryant Banks";"https://www.imdb.com/name/nm2505507";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Big Chief Roland Duplanter 2 episodes, 2018";"Luray Cooper";"https://www.imdb.com/name/nm0178228";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Rick 2 episodes, 2018";"Mike Donovan";"https://www.imdb.com/name/nm4655344";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Rockwell 2 episodes, 2018";"Deric Augustine";"https://www.imdb.com/name/nm5674282";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Dan Hartlett 2 episodes, 2018";"Frank J. Monteleone";"https://www.imdb.com/name/nm2625237";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Wounded Soldier 2 episodes, 2018";"Gunnar Anderson";"https://www.imdb.com/name/nm8728518";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Bar Patron / ... 2 episodes, 2018";"Edward Parker";"https://www.imdb.com/name/nm8791166";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Executive / ... 2 episodes, 2018";"Calvin Williams";"https://www.imdb.com/name/nm5475638";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Young Mina Hess 1 episode, 2018";"Hannah Hardin";"https://www.imdb.com/name/nm5646589";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Mud Man 1 episode, 2018";"Wyman Tannehill";"https://www.imdb.com/name/nm9969545";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Engineer Sam 1 episode, 2018";"Chelsea Bruland";"https://www.imdb.com/name/nm0992914";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Chief Watts 1 episode, 2018";"Douglas M. Griffin";"https://www.imdb.com/name/nm0341174";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Desk Sergeant 1 episode, 2018";"Armando Leduc";"https://www.imdb.com/name/nm1945289";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Patrolman Hannigan 1 episode, 2018";"William Prejean";"https://www.imdb.com/name/nm9924526";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Stan 1 episode, 2018";"Preston Vanderslice";"https://www.imdb.com/name/nm2534390";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Kev 1 episode, 2018";"Tanner Ellis";"https://www.imdb.com/name/nm8549364";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Nurse 1 episode, 2018";"Samantha Beaulieu";"https://www.imdb.com/name/nm1881080";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Trip 1 episode, 2018";"Al Vicente";"https://www.imdb.com/name/nm0015673";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Miss Ainsley 1 episode, 2018";"Catherine Ashton";"https://www.imdb.com/name/nm1219792";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Assistant 1 episode, 2018";"Nakina Eugene";"https://www.imdb.com/name/nm5383881";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Duane's Girlfriend 1 episode, 2018";"Lila Blake Palmer";"https://www.imdb.com/name/nm1665790";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Delia 1 episode, 2018";"Chelle Ramos";"https://www.imdb.com/name/nm3618699";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Chief of Police Duchamp 1 episode, 2018";"Andrea Frankle";"https://www.imdb.com/name/nm1683193";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Sketchy Man 1 episode, 2018";"Craig Boe";"https://www.imdb.com/name/nm7497544";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Louden Swift 1 episode, 2018";"Zachary James Rukavina";"https://www.imdb.com/name/nm3434688";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Judy 1 episode, 2018";"Amy Dionne";"https://www.imdb.com/name/nm4147363";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Brunette Woman 1 episode, 2018";"Vanessa Motta";"https://www.imdb.com/name/nm1906778";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Nana 1 episode, 2018";"Snow Nguyen";"https://www.imdb.com/name/nm9906795";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Cop 1 1 episode, 2018";"Mustafa Harris";"https://www.imdb.com/name/nm2880343";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Referee 1 episode, 2018";"Damon Lipari";"https://www.imdb.com/name/nm2067832";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Groomsman 1 episode, 2018";"Alex Stage";"https://www.imdb.com/name/nm7040478";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Woman 1 episode, 2018";"Leslie Castay";"https://www.imdb.com/name/nm4747279";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Player 1 episode, 2018";"Amar Malone";"https://www.imdb.com/name/nm6245750";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Cop 2 1 episode, 2018";"Deneen Tyler";"https://www.imdb.com/name/nm0878807";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Elmer 1 episode, 2018";"Alex Ho";"https://www.imdb.com/name/nm5087484";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Keg Kid 1 episode, 2018";"Eduardo Losan";"https://www.imdb.com/name/nm5208289";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Mark 1 episode, 2018";"Dean J. West";"https://www.imdb.com/name/nm1706076";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
"Laurel 1 episode, 2018";"Lauren Helling";"https://www.imdb.com/name/nm5479341";"Cloak & Dagger";"https://www.imdb.com/title/tt5614844"
