"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Tony Stark / Iron Man";"Robert Downey Jr.";"https://www.imdb.com/name/nm0000375";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Rhodey";"Terrence Howard";"https://www.imdb.com/name/nm0005024";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Obadiah Stane";"Jeff Bridges";"https://www.imdb.com/name/nm0000313";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Pepper Potts";"Gwyneth Paltrow";"https://www.imdb.com/name/nm0000569";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Christine Everhart";"Leslie Bibb";"https://www.imdb.com/name/nm0004753";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Yinsen";"Shaun Toub";"https://www.imdb.com/name/nm0869467";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Raza";"Faran Tahir";"https://www.imdb.com/name/nm0846687";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Agent Coulson";"Clark Gregg";"https://www.imdb.com/name/nm0163988";"Iron Man";"https://www.imdb.com/title/tt0371746"
"General Gabriel";"Bill Smitrovich";"https://www.imdb.com/name/nm0810488";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Abu Bakaar";"Sayed Badreya";"https://www.imdb.com/name/nm0046223";"Iron Man";"https://www.imdb.com/title/tt0371746"
"JARVIS (voice)";"Paul Bettany";"https://www.imdb.com/name/nm0079273";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Hogan";"Jon Favreau";"https://www.imdb.com/name/nm0269463";"Iron Man";"https://www.imdb.com/title/tt0371746"
"William Ginter Riva";"Peter Billingsley";"https://www.imdb.com/name/nm0082526";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Major Allen";"Tim Guinee";"https://www.imdb.com/name/nm0347375";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Award Ceremony Narrator (voice)";"Will Lyman";"https://www.imdb.com/name/nm0528164";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Guard";"Tom Morello";"https://www.imdb.com/name/nm0603780";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Guard";"Marco Khan";"https://www.imdb.com/name/nm0434879";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Guard";"Daston Kalili";"https://www.imdb.com/name/nm0435771";"Iron Man";"https://www.imdb.com/title/tt0371746"
"Guard (as Ido Ezra)";"Ido Mor";"https://www.imdb.com/name/nm2789241";"Iron Man";"https://www.imdb.com/title/tt0371746"
